"0","Magazine cup create","Electronics","yada yada","15.41","True"
"1","State huge his","Health","yada yada","312.93","True"
"2","Computer trial necessary","Entertainment","yada yada","466.83","False"
"3","Stuff safe glass PM","Apps","yada yada","397.69","True"
"4","Rock notice play","Apps","yada yada","182.61","False"
"5","Toward discover","Food","yada yada","126.39","True"
"6","Join example agency career","Health","yada yada","254.26","True"
"7","Area probably line and","Apps","yada yada","357.92","False"
"8","Offer much charge","Electronics","yada yada","291.84","True"
"9","Player degree window","Health","yada yada","465.73","True"
"10","Exactly reach difficult","Books","yada yada","364.53","False"
"11","Strong always single","Food","yada yada","444.35","True"
"12","Enough walk despite","Electronics","yada yada","415.95","False"
"13","Owner avoid especially writer air","Health","yada yada","193.53","True"
"14","Hear remember similar rise employee","Food","yada yada","276.37","True"
"15","Fact safe about response heart","Health","yada yada","417.45","True"
"16","Reflect new choose adult","Entertainment","yada yada","302.31","False"
"17","Third situation customer","Health","yada yada","140.59","True"
"18","Few mind soon","Books","yada yada","306.45","True"
"19","Work low plan education which","Health","yada yada","209.05","True"
"20","Herself less","Apps","yada yada","415.26","True"
"21","Style kind","Health","yada yada","498.93","True"
"22","Week along change determine","Health","yada yada","385.09","False"
"23","Mrs usually","Books","yada yada","456.69","True"
"24","Gun describe","Entertainment","yada yada","280.09","False"
"25","Final develop turn","Apps","yada yada","248.81","False"
"26","Unit gas personal","Books","yada yada","499.06","False"
"27","First Mr another travel","Entertainment","yada yada","8.23","False"
"28","Major six your","Entertainment","yada yada","256.30","False"
"29","Kind by us","Entertainment","yada yada","22.21","True"
"30","Throughout believe project","Electronics","yada yada","366.93","True"
"31","Involve of service drive attack","Food","yada yada","375.48","True"
"32","Product eye remain ten","Food","yada yada","309.33","False"
"33","Spring different level","Food","yada yada","45.50","True"
"34","Market research","Apps","yada yada","230.84","True"
"35","Ever quality","Apps","yada yada","103.22","True"
"36","Message west take","Entertainment","yada yada","54.52","True"
"37","These which sign politics enter","Outdoor","yada yada","135.54","True"
"38","Impact relationship individual though","Books","yada yada","52.19","True"
"39","Fish hundred","Entertainment","yada yada","371.88","True"
"40","Recently similar","Food","yada yada","347.95","False"
"41","Actually hand","Apps","yada yada","38.26","False"
"42","Position onto control","Food","yada yada","281.69","True"
"43","Something really manage read","Apps","yada yada","451.54","False"
"44","Western only four a","Electronics","yada yada","107.67","False"
"45","Parent nor make development","Books","yada yada","247.75","True"
"46","Issue far job edge majority","Outdoor","yada yada","48.94","False"
"47","Sell hope","Health","yada yada","332.82","True"
"48","Yes responsibility heavy","Health","yada yada","446.67","False"
"49","Market east movie present","Books","yada yada","317.07","False"
"50","Kid important risk","Outdoor","yada yada","144.76","False"
"51","Ten bed","Books","yada yada","426.13","False"
"52","Teach with food clearly society","Apps","yada yada","392.15","True"
"53","Behavior the","Outdoor","yada yada","63.13","True"
"54","History floor very mother","Food","yada yada","363.24","True"
"55","Raise staff why college","Outdoor","yada yada","257.75","True"
"56","Bit hope service","Food","yada yada","437.44","False"
"57","Hear or work","Apps","yada yada","346.96","True"
"58","Able where","Entertainment","yada yada","355.94","False"
"59","Authority prepare yes","Books","yada yada","57.72","True"
"60","Apply spring blood response","Apps","yada yada","192.26","True"
"61","Charge lead music","Books","yada yada","383.15","False"
"62","Such language company sea television","Food","yada yada","80.76","False"
"63","Job successful animal","Health","yada yada","287.09","True"
"64","Until say least","Food","yada yada","411.88","True"
"65","Hotel thank","Entertainment","yada yada","109.74","True"
"66","Truth become build","Entertainment","yada yada","206.95","False"
"67","Address guy month","Books","yada yada","289.03","True"
"68","Case case","Electronics","yada yada","38.57","True"
"69","Whose worry close","Electronics","yada yada","362.87","True"
"70","Take reach","Apps","yada yada","164.91","True"
"71","Water nature boy reach","Electronics","yada yada","122.24","True"
"72","Understand others baby dream","Entertainment","yada yada","149.91","True"
"73","Important social artist","Books","yada yada","200.35","False"
"74","Bill both after analysis","Entertainment","yada yada","492.49","False"
"75","Behind successful of why","Food","yada yada","105.31","False"
"76","Authority probably","Food","yada yada","111.99","False"
"77","Task much region give","Apps","yada yada","341.91","False"
"78","Home order indicate force","Entertainment","yada yada","77.00","False"
"79","I within candidate","Health","yada yada","434.99","True"
"80","Professional positive must","Electronics","yada yada","22.53","True"
"81","Theory increase concern","Entertainment","yada yada","334.30","True"
"82","Push first crime onto","Health","yada yada","419.48","False"
"83","Show take no pick","Electronics","yada yada","126.95","True"
"84","Song onto","Entertainment","yada yada","185.41","True"
"85","Important school kind consumer beat","Outdoor","yada yada","187.86","True"
"86","Some although middle","Books","yada yada","352.81","False"
"87","Teach note word be","Books","yada yada","484.35","False"
"88","Whatever ten far available","Books","yada yada","39.76","False"
"89","Build assume each argue no","Entertainment","yada yada","172.88","False"
"90","Skin sense","Food","yada yada","423.22","True"
"91","Employee listen require","Health","yada yada","125.89","False"
"92","Degree crime management","Entertainment","yada yada","130.01","False"
"93","Discover through feel","Outdoor","yada yada","126.41","False"
"94","Beat trouble matter spend beat","Electronics","yada yada","119.85","True"
"95","Always address successful","Apps","yada yada","157.33","True"
"96","Thousand career professor ready","Entertainment","yada yada","328.14","True"
"97","Group now bill know","Health","yada yada","447.54","False"
"98","Bit knowledge coach owner","Books","yada yada","290.52","False"
"99","Claim up behavior","Apps","yada yada","455.24","True"
"100","Social some man","Food","yada yada","257.76","False"
"101","Everyone involve never only","Outdoor","yada yada","144.54","False"
"102","Reveal bad experience","Apps","yada yada","259.83","False"
"103","Wonder until","Books","yada yada","302.67","False"
"104","Enjoy best","Outdoor","yada yada","195.85","True"
"105","Language address social","Health","yada yada","83.45","True"
"106","Deep goal sing","Entertainment","yada yada","75.83","True"
"107","Management continue force","Outdoor","yada yada","351.01","False"
"108","Stand baby just","Apps","yada yada","273.30","True"
"109","Language Mrs raise","Food","yada yada","54.54","True"
"110","Official up material country continue","Food","yada yada","15.55","False"
"111","Or box citizen former","Entertainment","yada yada","153.67","False"
"112","Career including control reason amount","Outdoor","yada yada","156.98","False"
"113","Top just mind","Electronics","yada yada","272.99","False"
"114","Walk actually continue number imagine","Food","yada yada","66.57","True"
"115","Meet small road wind","Outdoor","yada yada","343.93","True"
"116","Become assume police sister","Electronics","yada yada","331.10","False"
"117","That his hotel require","Food","yada yada","96.43","True"
